date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:09:49	29800/29800	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:02%20GMT	https://schoolerpindia.com/rfid-card.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/rfid-card.html	(from )
12:09:49	128/128	---M--	200	added ('OK')	text/plain	date:Wed,%2008%20Jun%202022%2017:42:04%20GMT	https://schoolerpindia.com/robots.txt		(from )
12:09:56	119143/119143	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:02%20GMT	http://schoolerpindia.com/index.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/index.html	(from https://schoolerpindia.com/rfid-card.php)
12:09:56	111521/111521	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Jan%202022%2015:13:38%20GMT	https://schoolerpindia.com/images/bg/1.jpeg	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/images/bg/1.jpg	(from https://schoolerpindia.com/rfid-card.php)
12:09:56	2017/2017	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Jan%202022%2012:49:54%20GMT	https://schoolerpindia.com/images/favicon.png	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/images/favicon.png	(from https://schoolerpindia.com/rfid-card.php)
12:09:56	284584/284584	---M--	200	added ('OK')	text/javascript	etag:%222af4af216080b72b%22	https://cdn.ampproject.org/v0.js	C:/Users/hs831/OneDrive/Desktop/rfid%20card/cdn.ampproject.org/v0.js	(from https://schoolerpindia.com/rfid-card.php)
12:09:56	137145/137145	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Nov%202023%2013:19:04%20GMT	https://schoolerpindia.com/css/style.css	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/css/style.css	(from https://schoolerpindia.com/rfid-card.php)
12:09:56	8495/8495	---M--	200	added ('OK')	text/css	date:Tue,%2007%20Nov%202023%2009:06:50%20GMT	https://schoolerpindia.com/css/responsive.css	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/css/responsive.css	(from https://schoolerpindia.com/rfid-card.php)
12:09:56	1531/1531	---M--	200	added ('OK')	text/css	date:Sat,%2028%20Oct%202023%2011:17:06%20GMT	https://schoolerpindia.com/css/slide.css	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/css/slide.css	(from https://schoolerpindia.com/rfid-card.php)
12:09:56	80426/80426	---M--	200	added ('OK')	text/css	date:Sun,%2020%20Oct%202019%2019:32:20%20GMT	https://schoolerpindia.com/css/animate.css	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/css/animate.css	(from https://schoolerpindia.com/rfid-card.php)
12:09:57	3719/3719	---M--	200	added ('OK')	text/css	date:Fri,%2022%20May%202020%2005:13:54%20GMT	https://schoolerpindia.com/css/custom-animation.css	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/css/custom-animation.css	(from https://schoolerpindia.com/rfid-card.php)
12:09:57	7302/7302	---M--	200	added ('OK')	text/css	date:Sun,%2020%20Oct%202019%2019:32:20%20GMT	https://schoolerpindia.com/css/magnific-popup.css	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/css/magnific-popup.css	(from https://schoolerpindia.com/rfid-card.php)
12:09:57	3891/3891	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Dec%202019%2019:52:10%20GMT	https://schoolerpindia.com/css/meanmenu.min.css	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/css/meanmenu.min.css	(from https://schoolerpindia.com/rfid-card.php)
12:09:57	3357/3357	---M--	200	added ('OK')	text/css	date:Sun,%2020%20Oct%202019%2019:32:20%20GMT	https://schoolerpindia.com/css/owl.carousel.min.css	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/css/owl.carousel.min.css	(from https://schoolerpindia.com/rfid-card.php)
12:09:58	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2264cac444-54a3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	C:/Users/hs831/OneDrive/Desktop/rfid%20card/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	(from https://schoolerpindia.com/rfid-card.php)
12:09:58	144877/144877	---MCZ	200	added ('OK')	text/css	etag:W/%22450fc463b8b1a349df717056fbb3e078%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	C:/Users/hs831/OneDrive/Desktop/rfid%20card/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	(from https://schoolerpindia.com/rfid-card.php)
12:09:59	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	C:/Users/hs831/OneDrive/Desktop/rfid%20card/use.fontawesome.com/releases/v5.7.2/css/all.css	(from https://schoolerpindia.com/rfid-card.php)
12:09:59	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-15283%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/Users/hs831/OneDrive/Desktop/rfid%20card/cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://schoolerpindia.com/rfid-card.php)
12:10:00	67742/67742	---MCZ	200	added ('OK')	application/javascript	etag:W/%2298d2c1da1c0a495f8fc8ad144ea1d3d2%22	https://stackpath.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.bundle.min.js	C:/Users/hs831/OneDrive/Desktop/rfid%20card/stackpath.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.bundle.min.js	(from https://schoolerpindia.com/rfid-card.php)
12:10:00	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/Users/hs831/OneDrive/Desktop/rfid%20card/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://schoolerpindia.com/rfid-card.php)
12:10:00	1380/1380	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-564%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.css	C:/Users/hs831/OneDrive/Desktop/rfid%20card/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.css	(from https://schoolerpindia.com/rfid-card.php)
12:10:00	85368/85368	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-14d78%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.2.1/owl.carousel.js	C:/Users/hs831/OneDrive/Desktop/rfid%20card/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.2.1/owl.carousel.js	(from https://schoolerpindia.com/rfid-card.php)
12:10:01	36438/36438	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:14%20GMT	https://schoolerpindia.com/school-erp-demo.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/school-erp-demo.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:01	19633/19633	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Apr%202022%2005:28:50%20GMT	https://schoolerpindia.com/images/logo.png	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/images/logo.png	(from https://schoolerpindia.com/rfid-card.php)
12:10:03	31507/31507	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:16%20GMT	https://schoolerpindia.com/admission-management.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/admission-management.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:04	29250/29250	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:17%20GMT	https://schoolerpindia.com/student-management.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/student-management.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:05	27656/27656	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:18%20GMT	https://schoolerpindia.com/fees-management.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/fees-management.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:05	26241/26241	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:18%20GMT	https://schoolerpindia.com/attendance-management.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/attendance-management.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:05	33393/33393	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:18%20GMT	https://schoolerpindia.com/academics-management.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/academics-management.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:06	28402/28402	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:18%20GMT	https://schoolerpindia.com/exam-management.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/exam-management.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:06	23867/23867	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:19%20GMT	https://schoolerpindia.com/online_exam.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/online_exam.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:06	22065/22065	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:19%20GMT	https://schoolerpindia.com/hr-management.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/hr-management.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:06	24317/24317	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:19%20GMT	https://schoolerpindia.com/inventory_management.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/inventory_management.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:07	26089/26089	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:19%20GMT	https://schoolerpindia.com/learning_management.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/learning_management.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:07	27037/27037	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:20%20GMT	https://schoolerpindia.com/transport-management.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/transport-management.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:07	23503/23503	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:20%20GMT	https://schoolerpindia.com/alumni_management.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/alumni_management.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:07	26571/26571	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:20%20GMT	https://schoolerpindia.com/attendance-machine.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/attendance-machine.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:08	23105/23105	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:20%20GMT	https://schoolerpindia.com/followup_management.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/followup_management.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:09	836178/836178	---M--	200	added ('OK')	image/webp	date:Tue,%2007%20Nov%202023%2013:20:18%20GMT	https://schoolerpindia.com/images/bg/erp_banner4.webp	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/images/bg/erp_banner4.webp	(from https://schoolerpindia.com/rfid-card.php)
12:10:09	25264/25264	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:21%20GMT	https://schoolerpindia.com/payment-gateway.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/payment-gateway.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:09	23764/23764	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:22%20GMT	https://schoolerpindia.com/sms-gateway.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/sms-gateway.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:09	25468/25468	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:22%20GMT	https://schoolerpindia.com/bulk-email.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/bulk-email.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:09	25808/25808	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:22%20GMT	https://schoolerpindia.com/fee-via-dynamic-qr-code.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/fee-via-dynamic-qr-code.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:09	24956/24956	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:22%20GMT	https://schoolerpindia.com/googlemeet-zoom.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/googlemeet-zoom.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:10	29533/29533	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:22%20GMT	https://schoolerpindia.com/dynamic_website.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/dynamic_website.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:10	32768/32768	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2006:40:23%20GMT	https://schoolerpindia.com/mobileapp.php	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/mobileapp.html	(from https://schoolerpindia.com/rfid-card.php)
12:10:10	5514954/5514954	---M--	200	added ('OK')	image/gif	date:Fri,%2027%20Oct%202023%2011:06:56%20GMT	https://schoolerpindia.com/images/bg/erp_banner2.gif	C:/Users/hs831/OneDrive/Desktop/rfid%20card/schoolerpindia.com/images/bg/erp_banner2.gif	(from https://schoolerpindia.com/rfid-card.php)
